"trial","action","foodtype","tray","id","items"
1,"cache","prefed","same",1,7.0
1,"cache","prefed","same",3,3.0
1,"cache","prefed","same",2,1.0
1,"cache","prefed","same",4,5.0
1,"cache","nonprefed","same",1,7.0
1,"cache","nonprefed","same",3,5.0
1,"cache","nonprefed","same",2,1.0
1,"cache","nonprefed","same",4,1.0
1,"cache","prefed","different",1,5.0
1,"cache","prefed","different",3,3.0
1,"cache","prefed","different",2,1.0
1,"cache","prefed","different",4,5.0
1,"cache","nonprefed","different",1,4.0
1,"cache","nonprefed","different",3,5.0
1,"cache","nonprefed","different",2,1.0
1,"cache","nonprefed","different",4,0.0
2,"cache","prefed","same",1,4.0
2,"cache","prefed","same",3,0.0
2,"cache","prefed","same",2,0.0
2,"cache","prefed","same",4,4.0
2,"cache","nonprefed","same",1,5.0
2,"cache","nonprefed","same",3,1.0
2,"cache","nonprefed","same",2,1.0
2,"cache","nonprefed","same",4,1.0
2,"cache","prefed","different",1,10.0
2,"cache","prefed","different",3,1.0
2,"cache","prefed","different",2,1.0
2,"cache","prefed","different",4,6.0
2,"cache","nonprefed","different",1,7.0
2,"cache","nonprefed","different",3,1.0
2,"cache","nonprefed","different",2,0.0
2,"cache","nonprefed","different",4,0.0
3,"cache","prefed","same",1,3.0
3,"cache","prefed","same",3,1.0
3,"cache","prefed","same",2,2.0
3,"cache","prefed","same",4,0.0
3,"cache","nonprefed","same",1,7.0
3,"cache","nonprefed","same",3,1.0
3,"cache","nonprefed","same",2,2.0
3,"cache","nonprefed","same",4,1.0
3,"cache","prefed","different",1,9.0
3,"cache","prefed","different",3,3.0
3,"cache","prefed","different",2,3.0
3,"cache","prefed","different",4,6.0
3,"cache","nonprefed","different",1,5.0
3,"cache","nonprefed","different",3,6.0
3,"cache","nonprefed","different",2,0.0
3,"cache","nonprefed","different",4,0.0
